index,iso_code,location,total_deaths,new_deaths,median_age,aged_70_older,date_formatted
94,AFG,Afghanistan,7.0,2.0,18.6,1.337,2020-04-06
95,AFG,Afghanistan,7.0,0.0,18.6,1.337,2020-04-07
96,AFG,Afghanistan,11.0,4.0,18.6,1.337,2020-04-08
97,AFG,Afghanistan,14.0,3.0,18.6,1.337,2020-04-09
98,AFG,Afghanistan,15.0,1.0,18.6,1.337,2020-04-10
99,AFG,Afghanistan,15.0,0.0,18.6,1.337,2020-04-11
100,AFG,Afghanistan,15.0,0.0,18.6,1.337,2020-04-12
101,AFG,Afghanistan,18.0,3.0,18.6,1.337,2020-04-13
102,AFG,Afghanistan,19.0,1.0,18.6,1.337,2020-04-14
103,AFG,Afghanistan,22.0,3.0,18.6,1.337,2020-04-15
104,AFG,Afghanistan,25.0,3.0,18.6,1.337,2020-04-16
105,AFG,Afghanistan,29.0,4.0,18.6,1.337,2020-04-17
106,AFG,Afghanistan,30.0,1.0,18.6,1.337,2020-04-18
107,AFG,Afghanistan,30.0,0.0,18.6,1.337,2020-04-19
108,AFG,Afghanistan,30.0,0.0,18.6,1.337,2020-04-20
109,AFG,Afghanistan,33.0,3.0,18.6,1.337,2020-04-21
110,AFG,Afghanistan,36.0,3.0,18.6,1.337,2020-04-22
111,AFG,Afghanistan,36.0,0.0,18.6,1.337,2020-04-23
112,AFG,Afghanistan,40.0,4.0,18.6,1.337,2020-04-24
113,AFG,Afghanistan,40.0,0.0,18.6,1.337,2020-04-25
114,AFG,Afghanistan,43.0,3.0,18.6,1.337,2020-04-26
115,AFG,Afghanistan,49.0,6.0,18.6,1.337,2020-04-27
116,AFG,Afghanistan,50.0,1.0,18.6,1.337,2020-04-28
117,AFG,Afghanistan,60.0,10.0,18.6,1.337,2020-04-29
118,AFG,Afghanistan,60.0,0.0,18.6,1.337,2020-04-30
119,AFG,Afghanistan,60.0,0.0,18.6,1.337,2020-05-01
120,AFG,Afghanistan,64.0,4.0,18.6,1.337,2020-05-02
121,AFG,Afghanistan,64.0,0.0,18.6,1.337,2020-05-03
122,AFG,Afghanistan,72.0,8.0,18.6,1.337,2020-05-04
123,AFG,Afghanistan,72.0,0.0,18.6,1.337,2020-05-05
124,AFG,Afghanistan,72.0,0.0,18.6,1.337,2020-05-06
125,AFG,Afghanistan,95.0,23.0,18.6,1.337,2020-05-07
126,AFG,Afghanistan,104.0,9.0,18.6,1.337,2020-05-08
127,AFG,Afghanistan,105.0,1.0,18.6,1.337,2020-05-09
128,AFG,Afghanistan,105.0,0.0,18.6,1.337,2020-05-10
129,AFG,Afghanistan,115.0,10.0,18.6,1.337,2020-05-11
130,AFG,Afghanistan,119.0,4.0,18.6,1.337,2020-05-12
131,AFG,Afghanistan,121.0,2.0,18.6,1.337,2020-05-13
132,AFG,Afghanistan,127.0,6.0,18.6,1.337,2020-05-14
133,AFG,Afghanistan,132.0,5.0,18.6,1.337,2020-05-15
134,AFG,Afghanistan,136.0,4.0,18.6,1.337,2020-05-16
135,AFG,Afghanistan,153.0,17.0,18.6,1.337,2020-05-17
136,AFG,Afghanistan,168.0,15.0,18.6,1.337,2020-05-18
